,Group1,res,method,operation,output,label,pattern,Group2,Group3,analysis,name,dec,rnd,disp
853,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,ARTHRALGIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
854,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,ARTHRITIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
855,Xanomeline High Dose,3.571428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,BACK PAIN,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,3.6,-3.6
856,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,FLANK PAIN,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
857,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MUSCLE SPASMS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
858,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,MYALGIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
859,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",PROSTATE CANCER,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
860,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,AMNESIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
861,Xanomeline High Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,BURNING SENSATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
862,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,COGNITIVE DISORDER,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
863,Xanomeline High Dose,13.0952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,DIZZINESS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,13.1,-13.1
864,Xanomeline High Dose,5.952380952,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,HEADACHE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,6,-6
865,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,HYPERSOMNIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
866,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,LETHARGY,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
867,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,PARAESTHESIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
868,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,PAROSMIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
869,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,PARTIAL SEIZURES WITH SECONDARY GENERALISATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
870,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,SOMNOLENCE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
871,Xanomeline High Dose,3.571428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,SYNCOPE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,3.6,-3.6
872,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,SYNCOPE VASOVAGAL,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
873,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),NERVOUS SYSTEM DISORDERS,TRANSIENT ISCHAEMIC ATTACK,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
874,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,AGITATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
875,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,CONFUSIONAL STATE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
876,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,DELIRIUM,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
877,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,DELUSION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
878,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,HALLUCINATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
879,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,"HALLUCINATION, VISUAL",An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
880,Xanomeline High Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,INSOMNIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
881,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,LIBIDO DECREASED,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
882,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,LISTLESS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
883,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),PSYCHIATRIC DISORDERS,NIGHTMARE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
884,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),RENAL AND URINARY DISORDERS,CALCULUS URETHRAL,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
885,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),RENAL AND URINARY DISORDERS,MICTURITION URGENCY,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
886,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),RENAL AND URINARY DISORDERS,NEPHROLITHIASIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
887,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),REPRODUCTIVE SYSTEM AND BREAST DISORDERS,BENIGN PROSTATIC HYPERPLASIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
888,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",ALLERGIC GRANULOMATOUS ANGIITIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
889,Xanomeline High Dose,5.952380952,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",COUGH,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,6,-6
890,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",DYSPNOEA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
891,Xanomeline High Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",EPISTAXIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
892,Xanomeline High Dose,3.571428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",NASAL CONGESTION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,3.6,-3.6
893,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PHARYNGEAL ERYTHEMA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
894,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PHARYNGOLARYNGEAL PAIN,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
895,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",PRODUCTIVE COUGH,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
896,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",RESPIRATORY TRACT CONGESTION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
897,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",RHINORRHOEA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
898,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ACTINIC KERATOSIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
899,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,BLISTER,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
900,Xanomeline High Dose,16.66666667,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,ERYTHEMA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,16.7,-16.7
901,Xanomeline High Dose,9.523809524,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,HYPERHIDROSIS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,9.5,-9.5
902,Xanomeline High Dose,30.95238095,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PRURITUS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,31,-31
903,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,PRURITUS GENERALISED,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
904,Xanomeline High Dose,10.71428571,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,10.7,-10.7
905,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH MACULO-PAPULAR,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
906,Xanomeline High Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,RASH PRURITIC,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
907,Xanomeline High Dose,5.952380952,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SKIN IRRITATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,6,-6
908,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,SKIN ODOUR ABNORMAL,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
909,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SKIN AND SUBCUTANEOUS TISSUE DISORDERS,URTICARIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
910,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SOCIAL CIRCUMSTANCES,ALCOHOL USE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
911,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SURGICAL AND MEDICAL PROCEDURES,ACROCHORDON EXCISION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
912,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),SURGICAL AND MEDICAL PROCEDURES,SKIN LESION EXCISION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
913,Xanomeline High Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),VASCULAR DISORDERS,WOUND HAEMORRHAGE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
914,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,ATRIAL FIBRILLATION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
915,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,ATRIAL FLUTTER,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
916,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,ATRIOVENTRICULAR BLOCK FIRST DEGREE,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
917,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,BUNDLE BRANCH BLOCK RIGHT,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
918,Xanomeline Low Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,MYOCARDIAL INFARCTION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
919,Xanomeline Low Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,PALPITATIONS,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
920,Xanomeline Low Dose,8.333333333,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,SINUS BRADYCARDIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,8.3,-8.3
921,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
922,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,SUPRAVENTRICULAR TACHYCARDIA,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
923,Xanomeline Low Dose,2.380952381,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,VENTRICULAR EXTRASYSTOLES,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,2.4,-2.4
924,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),CARDIAC DISORDERS,WOLFF-PARKINSON-WHITE SYNDROME,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
925,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),"CONGENITAL, FAMILIAL AND GENETIC DISORDERS",VENTRICULAR SEPTAL DEFECT,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
926,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),EAR AND LABYRINTH DISORDERS,CERUMEN IMPACTION,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
927,Xanomeline Low Dose,1.19047619,Mth01_CatVar_Summ_ByGrp,Mth01_CatVar_Summ_ByGrp_2_pct,Out14-3-2-1,%,( XX.X),EAR AND LABYRINTH DISORDERS,VERTIGO,An07_10_SocPt_Summ_ByTrt,"Summary of Subjects with TEAEs by Treatment, System Organ Class and Preferred Term",1,1.2,-1.2
